Id,Attended2016
30398,0
2458,1
5928,0
10885,0
4646,0
4598,0
14843,0
10907,0
10065,0
3096,0
13116,0
4663,0
21306,0
13599,0
19511,0
19781,0
16988,0
6689,0
4814,0
9882,0
8536,0
15852,0
10361,0
12398,0
13502,0
12092,0
16261,0
10320,0
19908,0
9442,0
6220,0
18935,0
27115,0
5986,0
14998,0
21713,0
27745,0
8917,0
16113,0
27445,0
19010,0
6999,0
10536,0
10155,0
15099,0
20866,0
13559,0
8724,0
27511,0
20985,0
14395,0
3138,0
7470,0
6386,0
15416,0
5475,0
9112,0
29356,0
30018,0
21146,0
24891,0
18284,0
5630,0
19194,0
7717,0
29553,0
15210,0
18402,0
8679,0
4002,0
12773,0
5287,0
27820,0
21296,0
14114,0
1829,1
5088,0
13153,0
21783,0
14066,0
15009,0
17673,0
19353,0
12167,0
19695,0
8737,0
22428,0
28711,0
10806,0
9474,0
22541,0
27248,0
10182,0
17300,0
27810,0
19744,0
6931,0
3898,0
28433,0
15727,0
22756,0
5460,0
4269,0
21012,0
18660,0
20540,0
5080,0
13066,0
12992,0
16573,0
15044,0
11331,0
16338,0
29894,0
18105,0
9180,0
6468,0
9740,0
6772,0
28430,0
28370,0
8090,0
8142,0
3855,0
21639,0
10684,0
23150,0
23903,0
16863,0
20746,0
8526,0
20604,0
16212,0
5996,0
20847,0
12900,0
12834,0
26346,0
22729,0
27171,0
6299,0
21937,0
29223,0
6996,0
21319,0
11559,0
26382,0
13764,0
26053,0
7662,0
18798,0
26879,0
4314,0
22454,0
2185,1
20448,0
6267,0
8101,0
14947,0
3519,0
20837,0
28130,0
8409,0
28967,0
10173,0
3174,0
6303,0
16840,0
14202,0
21788,0
15118,0
10019,0
11670,0
12005,0
16817,0
21031,0
5435,0
5689,0
3861,0
3816,0
11791,0
10266,0
17821,0
3597,0
12776,0
19940,0
19431,0
27326,0
28039,0
7385,0
28667,0
17535,0
10613,0
19580,0
30330,0
18804,0
29792,0
17615,0
3308,0
19506,0
12031,0
17330,0
15466,0
19263,0
13073,0
29435,0
15840,0
16662,0
18990,0
16555,0
9037,0
9704,0
20077,0
17622,0
6706,0
30134,0
7664,0
4808,0
29368,0
14923,0
10988,0
13303,0
26168,0
5028,0
22378,0
9954,0
9182,0
8407,0
16549,0
9701,0
15836,0
5125,0
16858,0
16008,0
21936,0
10038,0
5942,0
29563,0
15019,0
7567,0
12026,0
7476,0
3654,0
22432,0
5469,0
3999,0
18295,0
30209,0
20961,0
20478,0
27926,0
27192,0
17763,0
4944,0
13782,0
11697,0
7347,0
4554,0
9872,0
21392,0
29289,0
26873,0
3043,0
3504,0
2791,1
17281,0
28310,0
17447,0
16125,0
22339,0
8754,0
8319,0
29525,0
4713,0
29838,0
26416,0
12496,0
13609,0
15623,0
12563,0
15211,0
12443,0
22583,0
13402,0
8104,0
16459,0
29723,0
30218,0
11926,0
8594,0
18453,0
28619,0
22705,0
26196,0
18646,0
9944,0
10745,0
29460,0
11886,0
10709,0
10672,0
10118,0
28625,0
18224,0
3287,0
3618,0
1489,1
14575,0
18620,0
3730,0
20767,0
13951,0
14241,0
9030,0
26242,0
19734,0
5602,0
18600,0
29819,0
16663,0
3632,0
27719,0
9485,0
13671,0
6483,0
18533,0
8406,0
29593,0
6623,0
22901,0
11086,0
3905,0
15542,0
29945,0
16266,0
7739,0
16024,0
18072,0
7389,0
29513,0
3950,0
11989,0
18259,0
19756,0
28507,0
9257,0
6092,0
17954,0
11380,0
21683,0
14778,0
22014,0
5559,0
9384,0
13990,0
20411,0
17693,0
7616,0
17311,0
16734,0
7704,0
4987,0
19659,0
6880,0
14535,0
12999,0
27412,0
16160,0
21814,0
27669,0
10780,0
11351,0
30137,0
28028,0
27639,0
28095,0
19735,0
6663,0
15615,0
13544,0
22105,0
3758,0
12942,0
2076,1
20331,0
10790,0
28347,0
14427,0
19409,0
19028,0
30256,0
12735,0
21834,0
2978,1
26992,0
27136,0
29751,0
16658,0
15796,0
13857,0
10090,0
10011,0
18233,0
5095,0
12386,0
6941,0
27509,0
13226,0
26574,0
16303,0
15030,0
10067,0
28894,0
28042,0
28292,0
17197,0
20379,0
18416,0
30303,0
3295,0
4495,0
8712,0
6593,0
15182,0
17336,0
8080,0
27793,0
4161,0
3040,0
8964,0
29580,0
3774,0
19468,0
27378,0
20844,0
8953,0
20199,0
351,1
29691,0
20097,0
29390,0
28013,0
22548,0
29638,0
10278,0
4965,0
19885,0
13445,0
29035,0
21678,0
19335,0
19816,0
13880,0
4725,0
18187,0
5651,0
9547,0
11354,0
12303,0
14363,0
6711,0
16049,0
30334,0
8020,0
18965,0
3868,0
10277,0
13471,0
8437,0
21917,0
15845,0
19085,0
22304,0
3786,0
10687,0
10021,0
7451,0
12632,0
3815,0
7432,0
26867,0
8327,0
5558,0
8256,0
1408,1
22480,0
11871,0
5961,0
11778,0
28845,0
26232,0
29261,0
27429,0
29164,0
14858,0
13789,0
11919,0
11806,0
26696,0
8665,0
28713,0
9291,0
15186,0
3513,0
21871,0
10520,0
8517,0
26782,0
20422,0
29243,0
15841,0
6169,0
17269,0
3055,0
19430,0
18996,0
2765,1
29474,0
27491,0
10425,0
9067,0
22874,0
29102,0
28427,0
20788,0
6933,0
22427,0
22535,0
20423,0
15879,0
12987,0
3699,0
17582,0
13467,0
28510,0
11581,0
15893,0
3901,0
7652,0
30044,0
20536,0
17631,0
29407,0
18634,0
5143,0
14943,0
19837,0
9087,0
2389,1
11264,0
15579,0
18955,0
6702,0
6115,0
16677,0
10525,0
8260,0
27498,0
30092,0
21402,0
21302,0
12203,0
4516,0
6588,0
15633,0
13910,0
501,1
5907,0
20283,0
6026,0
22372,0
26415,0
9848,0
4196,0
15177,0
20772,0
10887,0
3856,0
8057,0
6752,0
9004,0
14015,0
27625,0
20400,0
20088,0
19809,0
29529,0
9648,0
10870,0
30235,0
3604,0
17443,0
18597,0
26581,0
8425,0
9732,0
28753,0
29160,0
17772,0
13726,0
16180,0
11238,0
20927,0
17903,0
4763,0
28195,0
29062,0
14712,0
17905,0
14991,0
21784,0
2873,1
4769,0
15101,0
11844,0
6151,0
27762,0
22077,0
5165,0
13277,0
26791,0
9455,0
7701,0
28961,0
19768,0
20391,0
21750,0
6521,0
18023,0
30293,0
7718,0
22807,0
29800,0
10107,0
12072,0
5397,0
7394,0
16106,0
8341,0
14345,0
26341,0
29763,0
13543,0
16722,0
18907,0
5976,0
29188,0
7085,0
16038,0
7238,0
11856,0
22644,0
4990,0
19302,0
14117,0
4941,0
15391,0
1728,1
30055,0
30136,0
27393,0
28167,0
9558,0
50,1
16813,0
12476,0
14501,0
4481,0
26912,0
22724,0
21638,0
461,1
28799,0
18666,0
26042,0
7779,0
13908,0
26593,0
5237,0
11120,0
17483,0
5246,0
8552,0
27058,0
21396,0
3576,0
29607,0
21313,0
17032,0
29993,0
4743,0
28577,0
27588,0
27489,0
8340,0
7025,0
17921,0
16505,0
29726,0
26557,0
12932,0
9739,0
17998,0
27924,0
17977,0
30317,0
11839,0
20371,0
29158,0
8604,0
11992,0
15293,0
27976,0
28043,0
24899,0
15108,0
202,1
526,1
9666,0
14902,0
13112,0
1785,1
4847,0
7072,0
15732,0
8109,0
13878,0
4408,0
15321,0
29029,0
2618,1
14338,0
11870,0
27673,0
3263,0
15855,0
29815,0
4110,0
6205,0
26280,0
3662,0
6045,0
30032,0
2385,1
26119,0
17745,0
17654,0
13090,0
27616,0
20765,0
5741,0
29754,0
7552,0
22479,0
13447,0
10862,0
10853,0
20459,0
14941,0
16327,0
9020,0
3417,0
28835,0
27929,0
10802,0
14939,0
16767,0
21745,0
8268,0
27483,0
11876,0
9115,0
22218,0
19324,0
3151,0
1854,1
13861,0
9813,0
19169,0
7863,0
11249,0
26384,0
15910,0
7962,0
5755,0
30376,0
6318,0
6962,0
5061,0
17980,0
22437,0
21190,0
19641,0
28690,0
22779,0
7326,0
17523,0
7780,0
13824,0
15272,0
26979,0
2293,1
12817,0
29864,0
21125,0
4984,0
9606,0
28403,0
5517,0
22019,0
4069,0
28868,0
19691,0
26764,0
11580,0
21499,0
17412,0
8356,0
18956,0
16820,0
29977,0
11200,0
28706,0
10037,0
15152,0
5508,0
4468,0
19602,0
4852,0
17133,0
14301,0
7727,0
10737,0
18693,0
762,1
8958,0
5179,0
30311,0
12347,0
17320,0
8274,0
10007,0
17875,0
16384,0
8050,0
26343,0
5369,0
21348,0
14884,0
19297,0
12542,0
19173,0
30111,0
3920,0
19933,0
5728,0
6419,0
27955,0
13575,0
6157,0
3095,0
5720,0
18088,0
11668,0
6832,0
16522,0
7425,0
27821,0
9253,0
10457,0
29179,0
13233,0
17000,0
10603,0
26575,0
26960,0
30201,0
12584,0
14135,0
4945,0
601,1
30108,0
28341,0
17037,0
16855,0
21846,0
16296,0
20072,0
3239,0
19555,0
10675,0
27547,0
29539,0
11769,0
8206,0
9363,0
14153,0
15828,0
12112,0
8155,0
7188,0
796,1
2256,1
4083,0
20514,0
16586,0
18289,0
10610,0
28408,0
18576,0
7635,0
11014,0
2554,1
15582,0
28856,0
8365,0
12418,0
4671,0
10334,0
20274,0
10561,0
26260,0
27072,0
13484,0
22896,0
6228,0
18945,0
6870,0
6147,0
15252,0
22489,0
10573,0
11032,0
21831,0
322,1
30202,0
30328,0
8501,0
12285,0
6911,0
6416,0
4957,0
17154,0
11096,0
20857,0
16156,0
28943,0
27451,0
15153,0
16933,0
6295,0
15265,0
16797,0
26944,0
22081,0
30366,0
9458,0
27809,0
13509,0
8243,0
26104,0
28921,0
28210,0
16965,0
5764,0
20251,0
16664,0
18570,0
30164,0
27757,0
29376,0
26219,0
5855,0
6001,0
22123,0
21752,0
3152,0
5072,0
29787,0
22350,0
22525,0
7086,0
13601,0
27589,0
26324,0
17744,0
15865,0
20611,0
8394,0
13170,0
19547,0
3526,0
11360,0
4147,0
14050,0
11893,0
20542,0
6405,0
26194,0
8994,0
21256,0
15555,0
26680,0
29226,0
10723,0
22444,0
195,1
22708,0
6284,0
11044,0
13965,0
27804,0
6661,0
6418,0
22568,0
10697,0
16509,0
14220,0
5039,0
22873,0
8190,0
5775,0
13729,0
20430,0
29457,0
6671,0
17001,0
12841,0
6665,0
11469,0
22550,0
7756,0
12035,0
8498,0
7755,0
11187,0
30028,0
28113,0
4460,0
12597,0
6488,0
9152,0
13020,0
12826,0
22183,0
13010,0
9227,0
5901,0
3350,0
20353,0
21581,0
15198,0
8659,0
28812,0
4240,0
22030,0
10982,0
18452,0
19587,0
11284,0
5003,0
21808,0
14956,0
19147,0
6218,0
17988,0
18047,0
27513,0
10446,0
29721,0
7801,0
29990,0
16342,0
6613,0
3591,0
5457,0
2939,1
18725,0
19605,0
6084,0
14510,0
29101,0
1953,1
27236,0
14320,0
6379,0
14033,0
1071,1
4980,0
22518,0
7269,0
11353,0
29338,0
11667,0
26736,0
21251,0
27581,0
13083,0
14069,0
22027,0
27703,0
7392,0
19917,0
9846,0
26957,0
21377,0
20332,0
10917,0
16166,0
10260,0
26978,0
22618,0
19803,0
8495,0
5354,0
19642,0
18237,0
22744,0
11968,0
21358,0
13548,0
15221,0
3703,0
21379,0
6961,0
15645,0
20101,0
4723,0
13449,0
26477,0
30036,0
27182,0
18677,0
5348,0
7162,0
8224,0
8589,0
12691,0
4535,0
29615,0
22117,0
11865,0
14468,0
28639,0
18653,0
14334,0
25829,0
14625,0
22804,0
12924,0
14761,0
8539,0
15786,0
26895,0
5501,0
15711,0
28396,0
7343,0
15097,0
23274,0
11251,0
14141,0
8913,0
9006,0
22244,0
12902,0
18978,0
28554,0
22160,0
15662,0
3431,0
8298,0
9469,0
15091,0
30390,0
2514,1
9605,0
15348,0
3694,0
3442,0
17048,0
4523,0
16082,0
27198,0
11737,0
11177,0
13284,0
30069,0
24624,0
8184,0
17099,0
10666,0
29147,0
20707,0
10791,0
8333,0
16271,0
28098,0
13825,0
9524,0
27668,0
11470,0
27206,0
11289,0
5867,0
29770,0
15873,0
20762,0
3144,0
18234,0
7446,0
4330,0
14255,0
14997,0
5289,0
28087,0
26440,0
12316,0
6800,0
1666,1
3932,0
29579,0
4634,0
6513,0
11152,0
15113,0
13892,0
21557,0
8890,0
13199,0
8843,0
26899,0
14044,0
27781,0
7837,0
18916,0
4386,0
6285,0
27174,0
7573,0
18806,0
15239,0
3050,0
22422,0
6176,0
3019,0
